junction,future_risk_score,percentile_rank
SarjapurRd-St JohnsRdJunc,0.12946756,64.28571428571429
BasaweshwaraCircle,0.12807234,63.94557823129252
KonanakunteJunction(KanakapurarRd),0.12650089,63.60544217687075
EliteJunc,0.12479703,63.26530612244898
Krupanidhi College,0.12235559,62.925170068027214
Rajajinagar19thMainJunc,0.12011738,62.585034013605444
DevangaHostelJunction,0.11836587,62.244897959183675
SagarHospitalJunc,0.11677867,61.904761904761905
RajajinagarEntranceJunction,0.11642165,61.564625850340136
KarnatakaBhavanJunction,0.11592275,61.224489795918366
SubbannaJunction,0.11585925,60.8843537414966
HainsJunc,0.11566178,60.544217687074834
PrasannaJunction,0.11505666,60.204081632653065
RamamurthyNagarJunction,0.11380564,59.863945578231295
JaiMuniRaoCircle,0.11374232,59.523809523809526
AnepalyaJunc,0.11168385,59.183673469387756
CID-CarltonHouseJunc,0.1114197,58.843537414965986
JP Nagar 15th cross junction,0.11063101,58.50340136054422
JayadevaHospitalJunc,0.11057653,58.16326530612245
BDA Junctio-Koramangala,0.10932956,57.82312925170068
ItmaduJunction,0.10747736,57.48299319727891
SadahalliGateJunc(AirportRd),0.10647015,57.14285714285714
MC Circle,0.1016466,56.80272108843537
Shivashankara circle,0.10026883,56.4625850340136
MeenakshiMallJunc,0.09897722,56.12244897959183
TyagiHengalvarayaJunc(DickensonRd),0.09834384,55.78231292517006
BucheryJunction,0.09771795,55.44217687074829
OldPoliceStation-Ashoknagar,0.097237885,55.10204081632652
A S CharStreet-MysoreRdJunc,0.09697251,54.761904761904766
WilsonGarden10thCrossJunc,0.09372338,54.421768707483
SindhiColonyJunction,0.0922586,54.08163265306123
BhashyamCircle,0.09174903,53.74149659863946
MintoJunction,0.09029271,53.40136054421769
PES-DevegowdaCircle,0.08954986,53.06122448979592
AgaraJunction,0.08887074,52.721088435374156
BigBazaar(Whitefield)Junc,0.08700271,52.38095238095239
ShantalaJunction,0.0861744,52.04081632653062
ShivajiTalkiesJunc,0.08559549,51.70068027210885
RingRoad-UllalJunction,0.08458348,51.36054421768708
Geethanjali jn,0.083432145,51.02040816326531
JP Nagar 9th cross-24th main jn,0.08338514,50.68027210884354
AshirwadamCircle,0.08270682,50.34013605442177
BiryandCircle,0.08249408,50.0
VijayanagarBusStandJunction,0.08079878,49.65986394557823
NavarangTheatreJunction,0.07553887,49.31972789115646
"Bellandur Junction, Outer ring road",0.07495239,48.97959183673469
HSR14thMainJunc,0.07401181,48.63945578231292
PurnimaTheaterJunc,0.072562255,48.29931972789115
Peenya2ndStageBusStand,0.0704895,47.95918367346938
ChaudrayaCircle/UdayaTVCircle(CantonmentJunc),0.06651186,47.61904761904761
OldMadrasRd-Indranagar100ftRdJunc,0.06464621,47.27891156462585
D'SouzaCircle,0.06461516,46.93877551020408
MargosaRd-18thCrossJunc,0.063356325,46.59863945578231
PotteryCircle,0.06317112,46.25850340136054
UrvashiJunction,0.06303072,45.91836734693878
South end circle,0.062645845,45.57823129251701
NIMHANS Junction,0.062107604,45.23809523809524
ElectronicCityGate-2Junc,0.061642054,44.89795918367347
IbblurJunction',0.060858335,44.5578231292517
28thMainJayanagarJunc,0.060812186,44.21768707482993
MysoreRd--MadhuPetrolBunkJunction,0.05971916,43.87755102040816
OldMadrasRd-80FeetRdJunc,0.05884963,43.53741496598639
ASC Junction,0.058745846,43.197278911564624
SiddapuraJunction,0.05512823,42.857142857142854
GopalGowdaJUnc,0.054690823,42.517006802721085
