junction,hotspot_persistence_index,significant_weeks,total_weeks,persistence_class
JakkurCrossJunction,0.07142857142857142,1,14,transient
Delmia-Jayanagar,0.07142857142857142,1,14,transient
BhashyamCircle-SadashivNagar,0.07142857142857142,1,14,transient
WebbsCircle,0.07142857142857142,1,14,transient
QueensStatueCircle,0.07142857142857142,1,14,transient
PoliceTimmaiahCircle(GPO),0.07142857142857142,1,14,transient
Nagarbhavi,0.07142857142857142,1,14,transient
ModiBridgeJunction,0.07142857142857142,1,14,transient
LeprosyhospitalJunc,0.07142857142857142,1,14,transient
KhodaysCircle(DV UrsCircle),0.07142857142857142,1,14,transient
BegumMahalJunc,0.07142857142857142,1,14,transient
"VeerannapalyaJunction(BEL,HO)",0.07142857142857142,1,14,transient
Nagavara-ORR Junction,0.07142857142857142,1,14,transient
TamarikannanJunc,0.07142857142857142,1,14,transient
SindhiColonyJunction,0.07142857142857142,1,14,transient
SRS Peenya Junc,0.07142857142857142,1,14,transient
OldMadrasRd-DoubleRdJunc,0.07142857142857142,1,14,transient
LowerAgaram(IndiaGarage)Junc,0.07142857142857142,1,14,transient
"KuvempuCircleJunc,HAL MainGate",0.07142857142857142,1,14,transient
KundanahalliGateJunc,0.07142857142857142,1,14,transient
KogilluCrossJunc,0.07142857142857142,1,14,transient
KensingtonOvalJunc,0.07142857142857142,1,14,transient
HesaraghattaJunction,0.07142857142857142,1,14,transient
KuvempuCircle,0.07142857142857142,1,14,transient
PES-DevegowdaCircle,0.07142857142857142,1,14,transient
UniversityJunc(Janabharti),0.07142857142857142,1,14,transient
ManipalCentreJunc,0.07142857142857142,1,14,transient
BM ShriJunc(CMH-100FtRd)Junc,0.07142857142857142,1,14,transient
AnjaneyaTempleJunc,0.07142857142857142,1,14,transient
WiproJunc-Koramangala,0.07142857142857142,1,14,transient
SonyworldJunction,0.07142857142857142,1,14,transient
SirsiCircle,0.07142857142857142,1,14,transient
SiddapuraJunction,0.07142857142857142,1,14,transient
Shivajinagar(BRV)Junction,0.07142857142857142,1,14,transient
SarjapurRd-St JohnsRdJunc,0.07142857142857142,1,14,transient
PotteryCircle,0.07142857142857142,1,14,transient
MarenahalliRd-18thMainRdJunc,0.07142857142857142,1,14,transient
KoramangalaWaterTankJunc,0.07142857142857142,1,14,transient
toll gate mysore road,0.07142857142857142,1,14,transient
HennurRd-DavisRdJunction,0.07142857142857142,1,14,transient
ElectronicCityGate-2Junc,0.07142857142857142,1,14,transient
DickensonRd-AdigasJunc,0.07142857142857142,1,14,transient
BinnyMillJunction,0.07142857142857142,1,14,transient
BDA Junctio-Koramangala,0.07142857142857142,1,14,transient
AyyappaTempleJunc,0.07142857142857142,1,14,transient
AshirwadamCircle,0.07142857142857142,1,14,transient
Arts&CraftsCircle,0.07142857142857142,1,14,transient
29thMainRdBTM LayoutJunc,0.07142857142857142,1,14,transient
17th Mn 1st Crs Aishwarya Stores Jn,0.07142857142857142,1,14,transient
VishweswaraiahJunctio(Uttamsagar),0.07142857142857142,1,14,transient
