junction,hour,dow,gi_star,p_sim,is_significant,weighted_intensity
ArakereGateJunc,10,5,0.503070017640529,0.2160000056028366,False,95.37588738333334
AyyappaTempleJunc,10,5,-0.03465684658552613,0.32600000500679016,False,4166.604073733333
BEL Circle,10,5,-0.25950182238721464,0.17800000309944153,False,74.0768229
BHEL Gate,10,5,0.5511741554008129,0.10000000149011612,False,31.145576100000003
BMTCJunction-K H Road,10,5,-0.055638677734017684,0.3580000102519989,False,87.37563088333333
BigBazaarJunction(OldMadrasRd),10,5,-0.027373883237075566,0.2720000147819519,False,119.86121308
BilekahalliJunc,10,5,0.5240189502668626,0.1420000046491623,False,171.2303044
Bommanahalli,10,5,0.5533595219577577,0.10000000149011612,False,171.2303044
CholurpalyaJunction(MagadiRd),10,5,-0.19723232598874907,0.4740000069141388,False,33.49110125
Delmia-Jayanagar,10,5,0.5240189502668626,0.37400001287460327,False,150250.20203306398
IbblurJunction',10,5,-0.007448698563035648,0.23399999737739563,False,5394.4669458399985
JP Nagar 9th cross-24th main jn,10,5,0.503070017640529,0.18400000035762787,False,57.07676813333333
JayadevaHospitalJunc,10,5,0.5257646946523904,0.12399999797344208,False,41.531319849999996
KIMCO Junction,10,5,-0.1993798168646399,0.20800000429153442,False,11972.17607852
Kammanahalli-RingRoadJunction,10,5,-0.2583562063959785,0.20200000703334808,False,274.05559235000004
KanakapuraRd-RingRdJunction,10,5,0.503070017640529,0.18799999356269836,False,171.2303044
KonanakunteJunction(KanakapurarRd),10,5,0.503070017640529,0.18199999630451202,False,57.07676813333333
KoramangalaWaterTankJunc,10,5,-0.03465684658552613,0.27799999713897705,False,513.6909132
KrishnaFlourMill,10,5,-0.19984369316923242,0.47200000286102295,False,60.388726983333335
MICO Bande,10,5,-0.03566622317259965,0.41600000858306885,False,40237.11752210849
NIMHANS Junction,10,5,-0.03566622317259965,0.2840000092983246,False,57.07676813333333
PoliceTimmaiahCircle(GPO),10,5,-0.055638677734017684,0.35600000619888306,False,508.64637295
SantheCircle,10,5,-0.2587715859224372,0.21400000154972076,False,159.33142099999998
Srigandakaval,10,5,-0.19944760953560567,0.44200000166893005,False,171.2303044
StateBankofMysoreJunc,10,5,-0.05575890921314979,0.33799999952316284,False,126.24699083333333
Sumanhalli,10,5,-0.19944760953560567,0.48399999737739563,False,594.0623581
TyagiHengalvarayaJunc(DickensonRd),10,5,-0.055638677734017684,0.33799999952316284,False,165.64822420000002
YelhankaBypass,10,5,-0.2587715859224372,0.19599999487400055,False,220.79557599999998
YelhankaCircle,10,5,-0.2587715859224372,0.21400000154972076,False,96.8636744
