feature,mean_abs_shap,mean_abs_shap_norm
cause_enc,40.55728353640642,0.2423949409379539
corridor_enc,37.74609592089505,0.2255935776164753
hour_cos,26.183909309426614,0.15649093324719174
hotspot_z,16.314870137140197,0.09750756555854102
hotspot_intensity,12.3671826456308,0.07391378922766437
hour_sin,9.40142262436983,0.05618860739825542
closure_int,8.43077671932027,0.05038743837728401
priority_enc,7.64559526633789,0.045694717481655094
junction_enc,7.108363930032929,0.04248389696610541
is_weekend,1.5635181187775924,0.009344533188873813
