feature,mean_abs_shap
event_cause,0.661185962026974
trust_score,0.4567493531756304
duration_anomaly,0.319224679289414
asof_p50_duration,0.14034640427787928
asof_surv_prob_180,0.11591486568744722
asof_p80_duration,0.11105402533647099
asof_surv_prob_120,0.1055258473582498
asof_quantile_fallback_level,0.10509987801126183
nbr_mean_duration,0.0903118212808395
asof_retrieval_mean_sim,0.08870989929824408
corridor,0.0846469644274115
asof_fragility_proxy,0.08356413954176832
trust_x_confidence,0.07246222696203664
hour_local,0.07064052231772049
asof_p95_duration,0.06971227056787
asof_retrieval_confidence,0.06800069927216264
dow_local,0.05371301497093833
fragility_x_duration,0.053279822365608756
asof_rmst_180,0.05248485846238107
mnar_predicted_prob,0.04961577158060004
requires_road_closure,0.04873760675013154
asof_corridor_burden,0.04736494915392035
asof_branching_ratio_proxy,0.04504446528495883
asof_hawkes_intensity,0.04417110185837583
hotspot_x_duration,0.04050667758762524
asof_nbr_mean_duration,0.04020602472330461
obi_x_fragility,0.03768483352807821
asof_burstiness,0.03727398800769402
event_type,0.037180227328696615
iso_flagged,0.037163343855015685
asof_planned_support,0.03691132064893106
zone,0.03673879066167068
retrieval_x_risk,0.031202706610731337
asof_retrieval_n_eff,0.03002165179152156
asof_surv_prob_60,0.029749312928263806
asof_retrieval_max_sim,0.028674917801756027
asof_nbr_mean_burden,0.026714310327304588
asof_ims_proxy,0.02343487963640133
asof_obi_proxy,0.023118006580909244
nbr_mean_fragility,0.021027223254494812
asof_junction_burden,0.02068676283541291
asof_corridor_event_rate,0.019238163817559648
nbr_mean_obi,0.01748334183649503
month,0.014681331313388191
hawkes_x_obi,0.014192506436692834
nbr_mean_severity,0.012745929212930886
is_weekend,0.011822197564760575
priority,0.00310797560877044
junction,0.0004864201734710472
geo_valid,0.0
asof_retrieval_fallback,0.0
