alpha,baseline_cvar,optimized_cvar,absolute_reduction,percent_reduction,baseline_expected_delay,optimized_expected_delay,scope,tier_site_count
0.9,33787597.2707844,6745470.491103694,27042126.779680707,80.03566090526243,7108268.493020161,2263824.029696031,system,
0.9,33787597.2707844,6745470.491103694,27042126.779680707,80.03566090526243,7108268.493020161,2263824.029696031,tier_emergency,4.0
0.9,33787597.2707844,6745470.491103694,27042126.779680707,80.03566090526243,7108268.493020161,2263824.029696031,tier_critical,6.0
0.9,33787597.2707844,6745470.491103694,27042126.779680707,80.03566090526243,7108268.493020161,2263824.029696031,tier_elevated,10.0
0.9,33787597.2707844,6745470.491103694,27042126.779680707,80.03566090526243,7108268.493020161,2263824.029696031,tier_normal,30.0
