feature,importance
asof_surv_prob_180,15.50805073564141
asof_quantile_fallback_level,11.796919389502492
trust_score,10.677594451804323
asof_retrieval_mean_sim,7.471861866673995
nbr_mean_duration,7.253794309831133
duration_anomaly,6.404183906073768
event_cause,5.0028824131879235
asof_fragility_proxy,3.7729344001706933
trust_x_confidence,2.278473397674387
asof_surv_prob_120,2.232482926485931
corridor,1.9144927272624674
asof_p80_duration,1.6724513501901834
asof_nbr_mean_duration,1.6484058477274266
asof_hawkes_intensity,1.6314860602904286
hour_local,1.5619805188273108
asof_p50_duration,1.5026636577847912
asof_p95_duration,1.4262827094607167
zone,1.4090202822489666
hotspot_x_duration,1.1776399922145773
dow_local,1.1735171350378018
asof_rmst_180,1.0417530188199418
asof_obi_proxy,1.012025243163415
nbr_mean_fragility,0.9890406648726442
asof_retrieval_confidence,0.9609428215838859
obi_x_fragility,0.7274320311576694
mnar_predicted_prob,0.6870341400702282
asof_corridor_burden,0.6242198011969404
asof_branching_ratio_proxy,0.5962418708438559
asof_ims_proxy,0.5933424676038775
fragility_x_duration,0.5649744645496168
asof_burstiness,0.5137130469337294
asof_planned_support,0.5032163282529082
asof_junction_burden,0.49862982327524785
asof_retrieval_n_eff,0.46653299466467385
retrieval_x_risk,0.412852371385294
asof_retrieval_max_sim,0.31871016844318373
asof_nbr_mean_burden,0.3077802105250002
asof_surv_prob_60,0.22589978107340808
hawkes_x_obi,0.20652895201227586
nbr_mean_obi,0.20357224360841517
asof_corridor_event_rate,0.1885195622001519
iso_flagged,0.18343819672274125
nbr_mean_severity,0.17693656159888826
month,0.12976948398515772
is_weekend,0.12811273691560524
requires_road_closure,0.12336706103042666
event_type,0.08935377005197372
priority,0.008846249113512304
junction,9.585625459923999e-05
geo_valid,0.0
asof_retrieval_fallback,0.0
