group,n_events,nominal_coverage,actual_coverage,coverage_shortfall,coverage_calibrated,mean_interval_width_95,parameter_only_coverage_95,predictive_scale_source,predictive_scale_is_parameter_only,evaluation_method,source
all_strata,1095,0.5,0.3927,0.1073,False,6.694,,posterior_sd_plus_obs_sd,False,sequential_loo,layer6_posterior_scoring
all_strata,1095,0.8,0.7196,0.0804,False,6.694,,posterior_sd_plus_obs_sd,False,sequential_loo,layer6_posterior_scoring
all_strata,1095,0.95,0.8658,0.0842,False,6.694,0.3342,posterior_sd_plus_obs_sd,False,sequential_loo,layer6_posterior_scoring
prior_level_cause,171,0.5,0.3275,0.1725,False,8.8898,,posterior_sd_plus_obs_sd,False,sequential_loo,layer6_posterior_scoring
prior_level_cause,171,0.8,0.5789,0.2211,False,8.8898,,posterior_sd_plus_obs_sd,False,sequential_loo,layer6_posterior_scoring
prior_level_cause,171,0.95,0.7895,0.1605,False,8.8898,0.4269,posterior_sd_plus_obs_sd,False,sequential_loo,layer6_posterior_scoring
prior_level_stratum,924,0.5,0.4048,0.0952,False,6.29,,posterior_sd_plus_obs_sd,False,sequential_loo,layer6_posterior_scoring
prior_level_stratum,924,0.8,0.7457,0.0543,False,6.29,,posterior_sd_plus_obs_sd,False,sequential_loo,layer6_posterior_scoring
prior_level_stratum,924,0.95,0.8799,0.0701,False,6.29,0.3171,posterior_sd_plus_obs_sd,False,sequential_loo,layer6_posterior_scoring
