event_id,sensor_value_index,svi_tier,uncertainty,operational_risk,alert_density,drift_pressure,generated_at
FKID006955,0.39429645451538325,High,0.11623819024449311,0.3498134518681438,1.0,0.42857142857142855,2026-06-20T01:47:22.923522+00:00
FKID008103,0.30678083057230865,High,0.41397107714630965,0.32778418952213967,0.0,0.42857142857142855,2026-06-20T01:47:22.923522+00:00
FKID001288,0.3048537341628429,High,0.41397107714630965,0.3213605348239205,0.0,0.42857142857142855,2026-06-20T01:47:22.923522+00:00
FKID001125,0.30420404934819,High,0.41397107714630965,0.3191949187750776,0.0,0.42857142857142855,2026-06-20T01:47:22.923522+00:00
FKID000944,0.3016389817723769,High,0.41397107714630965,0.31064469352236723,0.0,0.42857142857142855,2026-06-20T01:47:22.923522+00:00
FKID005593,0.29514671068672593,High,0.41397107714630965,0.2890037899035306,0.0,0.42857142857142855,2026-06-20T01:47:22.923522+00:00
FKID000346,0.2932115745652135,High,0.41397107714630965,0.282553336165156,0.0,0.42857142857142855,2026-06-20T01:47:22.923522+00:00
FKID004829,0.24574374309945696,High,0.2936346468875488,0.28477580495764854,0.0,0.42857142857142855,2026-06-20T01:47:22.923522+00:00
FKID005079,0.2452562240543431,High,0.2936346468875488,0.2831507414739358,0.0,0.42857142857142855,2026-06-20T01:47:22.923522+00:00
FKID004519,0.2448423491565057,High,0.2936346468875488,0.2817711584811444,0.0,0.42857142857142855,2026-06-20T01:47:22.923522+00:00
FKID004401,0.23759001539870062,High,0.2936346468875488,0.257596712621794,0.0,0.42857142857142855,2026-06-20T01:47:22.923522+00:00
FKID006514,0.2131871812021346,High,0.19446859679196293,0.3084753320940219,0.0,0.42857142857142855,2026-06-20T01:47:22.923522+00:00
FKID000528,0.2117437913084459,High,0.19446859679196293,0.3036640324483928,0.0,0.42857142857142855,2026-06-20T01:47:22.923522+00:00
FKID007189,0.21130445015201632,High,0.19446859679196293,0.3021995619269609,0.0,0.42857142857142855,2026-06-20T01:47:22.923522+00:00
FKID005996,0.2095600592889263,High,0.19446859679196293,0.2963849257166609,0.0,0.42857142857142855,2026-06-20T01:47:22.923522+00:00
FKID000968,0.2093741030221727,High,0.19446859679196293,0.2957650714941488,0.0,0.42857142857142855,2026-06-20T01:47:22.923522+00:00
FKID003235,0.2066975001346345,High,0.19446859679196293,0.2868430618690215,0.0,0.42857142857142855,2026-06-20T01:47:22.923522+00:00
FKID003897,0.1986577650964776,Moderate,0.17833157027740154,0.2815599804279137,0.0,0.42857142857142855,2026-06-20T01:47:22.923522+00:00
FKID007660,0.19819775400327821,Moderate,0.13120401209613197,0.34286335435894183,0.0,0.42857142857142855,2026-06-20T01:47:22.923522+00:00
FKID006340,0.1965743347803427,Moderate,0.11623819024449311,0.35740638608467534,0.0,0.42857142857142855,2026-06-20T01:47:22.923522+00:00
FKID007137,0.18446730789490928,Moderate,0.13120401209613197,0.29709520066437867,0.0,0.42857142857142855,2026-06-20T01:47:22.923522+00:00
FKID006361,0.1844440034298202,Moderate,0.11623819024449311,0.31697194824960023,0.0,0.42857142857142855,2026-06-20T01:47:22.923522+00:00
FKID004125,0.18414593756621744,Moderate,0.11623819024449311,0.3159783953709244,0.0,0.42857142857142855,2026-06-20T01:47:22.923522+00:00
FKID001931,0.1830426479437235,Moderate,0.13120401209613197,0.2923463341604261,0.0,0.42857142857142855,2026-06-20T01:47:22.923522+00:00
FKID001932,0.1826497463555904,Moderate,0.13120401209613197,0.2910366621999825,0.0,0.42857142857142855,2026-06-20T01:47:22.923522+00:00
FKID001693,0.18259512783895748,Moderate,0.11623819024449311,0.3108090296133912,0.0,0.42857142857142855,2026-06-20T01:47:22.923522+00:00
FKID004531,0.18235806218976708,Moderate,0.13120401209613197,0.290064381647238,0.0,0.42857142857142855,2026-06-20T01:47:22.923522+00:00
FKID000842,0.18140916998170492,Moderate,0.11623819024449311,0.3068558367558827,0.0,0.42857142857142855,2026-06-20T01:47:22.923522+00:00
FKID000129,0.18137471183267767,Moderate,0.11623819024449311,0.3067409762591252,0.0,0.42857142857142855,2026-06-20T01:47:22.923522+00:00
FKID001489,0.18106808449946205,Moderate,0.13120401209613197,0.2857644560128879,0.0,0.42857142857142855,2026-06-20T01:47:22.923522+00:00
FKID004806,0.17948360573601713,Moderate,0.11623819024449311,0.3004372892702568,0.0,0.42857142857142855,2026-06-20T01:47:22.923522+00:00
FKID005244,0.17595362961058753,Moderate,0.13120401209613197,0.2687162730499728,0.0,0.42857142857142855,2026-06-20T01:47:22.923522+00:00
FKID000022,0.17431012395976775,Moderate,0.0846434034978728,0.3253187323449193,0.0,0.42857142857142855,2026-06-20T01:47:22.923522+00:00
FKID000316,0.16982852281944966,Moderate,0.0846434034978728,0.31038006187719225,0.0,0.42857142857142855,2026-06-20T01:47:22.923522+00:00
FKID006015,0.16897420264038648,Low,0.0846434034978728,0.3075323279469816,0.0,0.42857142857142855,2026-06-20T01:47:22.923522+00:00
FKID003911,0.16815197438647456,Low,0.0846434034978728,0.3047915671006087,0.0,0.42857142857142855,2026-06-20T01:47:22.923522+00:00
FKID000923,0.16774782194013726,Low,0.0846434034978728,0.30344439227948433,0.0,0.42857142857142855,2026-06-20T01:47:22.923522+00:00
FKID001133,0.16713228144655357,Low,0.0846434034978728,0.30139259063420537,0.0,0.42857142857142855,2026-06-20T01:47:22.923522+00:00
FKID003103,0.16394522374468484,Low,0.0846434034978728,0.2907690649613096,0.0,0.42857142857142855,2026-06-20T01:47:22.923522+00:00
FKID001646,0.1638744719221119,Low,0.0846434034978728,0.2905332255527331,0.0,0.42857142857142855,2026-06-20T01:47:22.923522+00:00
FKID000164,0.16358768835267767,Low,0.0846434034978728,0.2895772803212857,0.0,0.42857142857142855,2026-06-20T01:47:22.923522+00:00
FKID004694,0.16300269894363745,Low,0.0846434034978728,0.28762731562448485,0.0,0.42857142857142855,2026-06-20T01:47:22.923522+00:00
FKID005137,0.1626128395540824,Low,0.0846434034978728,0.2863277843259681,0.0,0.42857142857142855,2026-06-20T01:47:22.923522+00:00
