resource,base_budget,perturbed_budget,base_objective,perturbed_objective,marginal_value,interpretation
police,120,121,8633352.187506795,8585453.624496553,47898.563010241836,One extra police unit reduces objective by 47898.5630
barricades,100,101,8633352.187506795,8608838.278466485,24513.90904030949,One extra barricades unit reduces objective by 24513.9090
tow,15,16,8633352.187506795,8571485.74118759,61866.44631920569,One extra tow unit reduces objective by 61866.4463
qru,10,11,8633352.187506795,8561964.067839133,71388.11966766231,One extra qru unit reduces objective by 71388.1197
