bin_lo,bin_hi,mean_pred,mean_true,count,ece,brier
0.0,0.1,0.011135857461024499,0.011135857461024499,449,0.0,0.1087340469279489
0.1,0.2,0.16666666666666666,0.16666666666666666,6,0.0,0.1087340469279489
0.2,0.30000000000000004,0.24684684684684685,0.24684684684684685,555,0.0,0.1087340469279489
0.30000000000000004,0.4,,,0,0.0,0.1087340469279489
0.4,0.5,0.47619047619047616,0.47619047619047616,21,0.0,0.1087340469279489
0.5,0.6000000000000001,,,0,0.0,0.1087340469279489
0.6000000000000001,0.7000000000000001,,,0,0.0,0.1087340469279489
0.7000000000000001,0.8,,,0,0.0,0.1087340469279489
0.8,0.9,0.8235294117647058,0.8235294117647058,34,0.0,0.1087340469279489
0.9,1.0,,,0,0.0,0.1087340469279489
