action,action_label,severity_rank,triggers,threshold_source,ERI_cutoff_low,ERI_cutoff_high,ERI_cutoff_veryhigh,ERI_cutoff_critical,SSC_norm_high_cutoff,CI_narrow_per_zone
watch,No action — continue normal monitoring,0,max_ERI < 0.0604  (training p25),"training-period percentile of max(ERI_3h, ERI_6h, ERI_9h) computed Nov 10-Dec 31 2023",0.0604,0.3135,0.5097,0.8535,0.5,see layer7_zone_ci_thresholds.csv
increase_monitoring,Heighten alert; duty officer should increase check-in frequency,1,"max_ERI in [0.0604, 0.3135)  OR  CI_half >= zone_ci_narrow_threshold[zone]  (wide vs zone's own p25)","training-period percentile of max(ERI_3h, ERI_6h, ERI_9h) computed Nov 10-Dec 31 2023",0.0604,0.3135,0.5097,0.8535,0.5,see layer7_zone_ci_thresholds.csv
stage_tow_unit,Pre-position tow unit near zone; standby for rapid deployment,2,"max_ERI >= 0.3135  AND  persistence in [persistent, escalating]","training-period percentile of max(ERI_3h, ERI_6h, ERI_9h) computed Nov 10-Dec 31 2023",0.0604,0.3135,0.5097,0.8535,0.5,see layer7_zone_ci_thresholds.csv
stage_barricade,Move barricading equipment to zone perimeter; notify junction marshals,3,max_ERI >= 0.3135  AND  SSC_norm >= 0.5  AND  persistence != transient,"training-period percentile of max(ERI_3h, ERI_6h, ERI_9h) computed Nov 10-Dec 31 2023",0.0604,0.3135,0.5097,0.8535,0.5,see layer7_zone_ci_thresholds.csv
prepare_diversion,Alert traffic control; identify and pre-clear alternate routes,4,max_ERI >= 0.5097  AND  SSC_norm >= 0.5  AND  persistence != transient,"training-period percentile of max(ERI_3h, ERI_6h, ERI_9h) computed Nov 10-Dec 31 2023",0.0604,0.3135,0.5097,0.8535,0.5,see layer7_zone_ci_thresholds.csv
escalate_supervision,Senior officer response required; activate diversion plan immediately,5,max_ERI >= 0.8535  AND  persistence == escalating  AND  CI_half < zone_ci_narrow_threshold[zone]  (zone-relative narrow),"training-period percentile of max(ERI_3h, ERI_6h, ERI_9h) computed Nov 10-Dec 31 2023",0.0604,0.3135,0.5097,0.8535,0.5,see layer7_zone_ci_thresholds.csv
