event_id,dcs_component,robustness_component,uncertainty_inv_component,scenario_stability,twin_confidence_score,tcs_tier,generated_at
FKID004806,0.3311083356980093,0.6880040484949375,0.8837618097555069,0.0012503442722456848,0.1661793399851275,High,2026-06-20T01:47:22.899486+00:00
FKID004531,0.3282639026333969,0.6986795236708991,0.868795987903868,0.001138354028939137,0.164701128331168,High,2026-06-20T01:47:22.899486+00:00
FKID000164,0.2811512403490119,0.6828907213210744,0.9153565965021272,0.0012517668544985705,0.14120150360175523,High,2026-06-20T01:47:22.899486+00:00
FKID004711,0.2780125538475188,0.6437840266918657,0.9978646400345924,0.0011730707895861725,0.13959281231855247,High,2026-06-20T01:47:22.899486+00:00
FKID001932,0.2755532994630361,0.675278842047122,0.868795987903868,0.0011787973330678048,0.13836604839805194,High,2026-06-20T01:47:22.899486+00:00
FKID003235,0.2751046393748701,0.6897632840817196,0.8055314032080371,0.001102476395903218,0.13810355788538667,High,2026-06-20T01:47:22.899486+00:00
FKID001931,0.2731207494706901,0.6693175650627632,0.868795987903868,0.0011758882988804897,0.1371483188847853,High,2026-06-20T01:47:22.899486+00:00
FKID000968,0.2685855130094071,0.6835458828388872,0.8055314032080371,0.001125581039923551,0.13485554702466532,High,2026-06-20T01:47:22.899486+00:00
FKID004694,0.265624832413732,0.6725722440310071,0.9153565965021272,0.0012554975095540044,0.13344016496164302,High,2026-06-20T01:47:22.899486+00:00
FKID004967,0.2654303013892912,0.6793103582988712,0.9153565965021272,0.001166489556004513,0.13329839547264785,High,2026-06-20T01:47:22.899486+00:00
FKID005137,0.2646453063867734,0.6937476000644609,0.9153565965021272,0.0012858417418609713,0.1329655740643172,High,2026-06-20T01:47:22.899486+00:00
FKID001489,0.2637277699676321,0.6763844153996201,0.868795987903868,0.0011301456395226284,0.13242895780357736,High,2026-06-20T01:47:22.899486+00:00
FKID004408,0.2628668657970759,0.6790515572069142,0.9153565965021272,0.0012128894460079476,0.13203987762154193,High,2026-06-20T01:47:22.899486+00:00
FKID000528,0.2619751744653147,0.6700278627808904,0.8055314032080371,0.001156188210162612,0.13156568133773866,High,2026-06-20T01:47:22.899486+00:00
FKID000842,0.2610100369708754,0.6506820533819835,0.8837618097555069,0.0016180162587614566,0.13131402661481842,High,2026-06-20T01:47:22.899486+00:00
FKID005194,0.2594372932382903,0.6952947838934367,0.9153565965021272,0.0011871564467669238,0.1303122248425286,High,2026-06-20T01:47:22.899486+00:00
FKID001646,0.2530626274801794,0.68147331536248,0.9153565965021272,0.0013707321458635846,0.12721667981302148,High,2026-06-20T01:47:22.899486+00:00
FKID003103,0.2511979557637144,0.6646987745829482,0.9153565965021272,0.0012404535509059622,0.12621920465731018,Moderate,2026-06-20T01:47:22.899486+00:00
FKID000129,0.2496802033207211,0.6489802537919833,0.8837618097555069,0.0017876854655576313,0.12573394439313937,Moderate,2026-06-20T01:47:22.899486+00:00
FKID007137,0.2445491077951798,0.6550900509162499,0.868795987903868,0.0013088763051514185,0.12292899205016561,Moderate,2026-06-20T01:47:22.899486+00:00
FKID004519,0.2436622244922938,0.697549590099694,0.7063653531124512,0.0012038428186800232,0.12243303365548691,Moderate,2026-06-20T01:47:22.899486+00:00
FKID004401,0.2395451435109761,0.6917314958749643,0.7063653531124512,0.0011174643877835955,0.12033130394937985,Moderate,2026-06-20T01:47:22.899486+00:00
FKID003911,0.2373947260614236,0.6196003610207792,0.9153565965021272,0.0017650335054326671,0.11957987978342813,Moderate,2026-06-20T01:47:22.899486+00:00
FKID001133,0.236062255008356,0.6543371025232864,0.9153565965021272,0.0015048568497361137,0.11878355592904606,Moderate,2026-06-20T01:47:22.899486+00:00
FKID000923,0.2351888121630976,0.6397455898466224,0.9153565965021272,0.0017760035057897694,0.11848240783444368,Moderate,2026-06-20T01:47:22.899486+00:00
FKID007189,0.2325508909757245,0.6496417004311966,0.8055314032080371,0.001476791629191343,0.11701384130245793,Moderate,2026-06-20T01:47:22.899486+00:00
FKID005079,0.2297516871135439,0.6962510139836364,0.7063653531124512,0.0012196147493175324,0.11548565093143072,Moderate,2026-06-20T01:47:22.899486+00:00
FKID005244,0.229127130791862,0.6893124681097379,0.868795987903868,0.0010348525807393205,0.11508099168630066,Moderate,2026-06-20T01:47:22.899486+00:00
FKID005996,0.2278145238287897,0.6752215159679494,0.8055314032080371,0.0012636145973526913,0.11453906921307119,Moderate,2026-06-20T01:47:22.899486+00:00
FKID003897,0.2226192315615053,0.6914644886976131,0.8216684297225985,0.0012805478149129357,0.11194988968820911,Moderate,2026-06-20T01:47:22.899486+00:00
FKID004125,0.2144973037900846,0.6063792592027212,0.8837618097555069,0.0018808881911412945,0.10818909599061295,Moderate,2026-06-20T01:47:22.899486+00:00
FKID000022,0.2111058423120144,0.5660702633577196,0.9153565965021272,0.002178940775060534,0.10664239154353747,Moderate,2026-06-20T01:47:22.899486+00:00
FKID001693,0.2106146997757943,0.5956956357153499,0.8837618097555069,0.002043283439748911,0.10632899160777161,Moderate,2026-06-20T01:47:22.899486+00:00
FKID006514,0.2002347008636964,0.601139323035551,0.8055314032080371,0.0015606383388184764,0.10089766960125744,Moderate,2026-06-20T01:47:22.899486+00:00
FKID007660,0.1897441346247523,0.5172991568728181,0.868795987903868,0.0018592214269423923,0.09580167802584734,Low,2026-06-20T01:47:22.899486+00:00
FKID000316,0.1845393506770266,0.5720551373043192,0.9153565965021272,0.00205904923417477,0.09329919995560068,Low,2026-06-20T01:47:22.899486+00:00
FKID001592,0.1848869791100851,0.6709886318385415,0.9153565965021272,0.0012726508109076606,0.09307981496049637,Low,2026-06-20T01:47:22.899486+00:00
FKID006361,0.1787770158681056,0.5835798450499413,0.8837618097555069,0.001918342130370343,0.09034767899923797,Low,2026-06-20T01:47:22.899486+00:00
FKID005593,0.1770482358386719,0.6833205318591065,0.5860289228536903,0.0013116200379771348,0.08917992793832452,Low,2026-06-20T01:47:22.899486+00:00
FKID004492,0.1638671644717979,0.6826415338933803,0.9153565965021272,0.001137533719756445,0.08250234909577717,Low,2026-06-20T01:47:22.899486+00:00
FKID000346,0.1628955619298823,0.6455097531394642,0.5860289228536903,0.0013087676544233373,0.08210216479215282,Low,2026-06-20T01:47:22.899486+00:00
FKID006015,0.1628011367640383,0.5883711828589915,0.9153565965021272,0.0013542920421316662,0.08207771440308498,Low,2026-06-20T01:47:22.899486+00:00
FKID006955,0.1535936208280041,0.4586234803915355,0.8837618097555069,0.009338633891691428,0.08146612735984776,Low,2026-06-20T01:47:22.899486+00:00
FKID000002,0.1573242673690655,0.6709110911334648,0.8837618097555069,0.0010089949673417475,0.07916663116820362,Low,2026-06-20T01:47:22.899486+00:00
FKID004829,0.1502409355954263,0.6387857868281211,0.7063653531124512,0.0012135889033337843,0.07572726224938005,Low,2026-06-20T01:47:22.899486+00:00
FKID000944,0.1346470091390943,0.6090335979003525,0.5860289228536903,0.0022370564596445597,0.06844203279936943,Low,2026-06-20T01:47:22.899486+00:00
FKID001125,0.1325585031189086,0.5675112362679648,0.5860289228536903,0.002231681086454995,0.0673950921026818,Low,2026-06-20T01:47:22.899486+00:00
FKID006340,0.1263691945655428,0.3937542091984826,0.8837618097555069,0.00770724021793312,0.06703821739173796,Low,2026-06-20T01:47:22.899486+00:00
FKID008103,0.1251454843132605,0.5056611060946288,0.5860289228536903,0.0029667482430211223,0.06405611627814081,Low,2026-06-20T01:47:22.899486+00:00
FKID001288,0.122690315615363,0.552285450172459,0.5860289228536903,0.002856633550819443,0.06277347458309122,Low,2026-06-20T01:47:22.899486+00:00
