junction,future_risk_score,percentile_rank
K R MarketJunction,0.10244911,59.183673469387756
ElectronicCityGate-2Junc,0.10172839,58.843537414965986
BDA Junctio-Koramangala,0.101672664,58.50340136054422
JaiMuniRaoCircle,0.10107931,57.993197278911566
PrasannaJunction,0.10107931,57.993197278911566
QueensStatueCircle,0.09964855,57.48299319727891
Shivashankara circle,0.099638306,56.80272108843537
JP Nagar 9th cross-24th main jn,0.099638306,56.80272108843537
SiddapuraJunction,0.099638306,56.80272108843537
MintoJunction,0.09953011,56.12244897959183
BigBazaar(Whitefield)Junc,0.099204175,55.78231292517006
MC Circle,0.09458838,55.44217687074829
ASC Junction,0.0927941,55.10204081632652
Kudlu Gate Junc,0.09274967,54.59183673469388
AnepalyaJunc,0.09274967,54.59183673469388
RingRoad-UllalJunction,0.09100843,53.91156462585034
PurnimaTheaterJunc,0.09100843,53.91156462585034
DairyCircle,0.09040087,53.40136054421769
GangammagudiJunc,0.089226685,52.89115646258503
PotteryCircle,0.089226685,52.89115646258503
KarnatakaBhavanJunction,0.08628069,52.38095238095239
BiryandCircle,0.086036,52.04081632653062
29thMainRdBTM LayoutJunc,0.078993164,51.53061224489795
ChaudrayaCircle/UdayaTVCircle(CantonmentJunc),0.078993164,51.53061224489795
GopalGowdaJUnc,0.078678906,51.02040816326531
OldMadrasRd-80FeetRdJunc,0.078431316,50.51020408163265
AnilKumbleCircle,0.078431316,50.51020408163265
TyagiHengalvarayaJunc(DickensonRd),0.07804291,50.0
BinnyMillJunction,0.0736176,49.65986394557823
BhashyamCircle,0.073087364,49.31972789115646
WilsonGarden10thCrossJunc,0.07297127,48.80952380952381
PlatformRdJunction,0.07297127,48.80952380952381
28thMainJayanagarJunc,0.07197758,48.29931972789115
OperaHouseJunc,0.07145994,47.95918367346938
Richmond circle jn,0.0704232,47.61904761904761
RajajinagarEntranceJunction,0.06903025,47.27891156462585
DevangaHostelJunction,0.06425087,46.93877551020408
PES-DevegowdaCircle,0.0642246,46.59863945578231
MargosaRd-18thCrossJunc,0.06298261,46.25850340136054
HainsJunc,0.06160749,45.91836734693878
EliteJunc,0.060300596,45.57823129251701
South end circle,0.059878767,45.23809523809524
NavarangTheatreJunction,0.055301894,44.89795918367347
CoffeeBoardJunc,0.054005206,44.5578231292517
VetenaryHospitalJunc-Shivajinagar,0.05397764,44.047619047619044
CIL CrossJunction-JayamahalRd,0.05397764,44.047619047619044
SubedarChatramRd near SheshadripuramPS,0.051187128,43.53741496598639
CommandoHospitalJunc,0.05060918,43.02721088435374
KonanakunteJunction(KanakapurarRd),0.05060918,43.02721088435374
"Bellandur Junction, Outer ring road",0.050500486,42.517006802721085
OldMadrasRd-NGEF Junc,0.05001677,42.00680272108844
RamaiahCircle-UlsoorPoliceStation,0.05001677,42.00680272108844
MysoreRd--MadhuPetrolBunkJunction,0.045528162,41.49659863945578
OldPoliceStation-Ashoknagar,0.045299027,41.156462585034014
HennurRd-DavisRdJunction,0.04429204,40.816326530612244
A S CharStreet-MysoreRdJunc,0.043368265,40.476190476190474
RRR(Okalipuram)Junction,0.042329993,40.136054421768705
KalyanNagar-ORR Junc,0.040784188,39.795918367346935
MICO Bande,0.040578865,39.455782312925166
SagarTheatreJunc,0.040020503,39.1156462585034
VijayanagarBusStandJunction,0.037429057,38.775510204081634
MahalaxmiLayoutEntranceJunc,0.037007824,38.435374149659864
GarebhavipalyaJunc,0.03405872,38.095238095238095
BegumMahalJunc,0.024878211,37.755102040816325
"PriyadarshiniHotel,Jayamahal,RT Nagar",0.023423303,37.244897959183675
NIMHANS Junction,0.023423303,37.244897959183675
HoodiJunction,0.022277506,36.734693877551024
JohnsonMarket,0.02134754,36.394557823129254
KamrajRdJunction,0.017518755,36.054421768707485
CMH Rd-AdarshTheaterJunc,0.017096909,35.544217687074834
MayohallJunction,0.017096909,35.544217687074834
Dr RajkumarRd-10thCrossRdJunc,0.017042393,35.034013605442176
Srinivagilu(Ejipura)Junc,0.016535852,34.69387755102041
Jaipuria-Adugodi,0.015296203,34.35374149659864
Yemalur cross junc,0.01159505,34.01360544217687
Delmia-Jayanagar,0.011335702,33.6734693877551
OldMadrasRd-DoubleRdJunc,0.010719592,33.33333333333333
CashPharmacyJunction,0.010596529,32.99319727891156
Basappa Circle Junction,0.009308659,32.6530612244898
Kammanahalli-RingRoadJunction,0.008549001,32.31292517006803
TC Palya-OM RoadJunc,0.008361379,31.97278911564626
D'SouzaCircle,0.007093855,31.292517006802722
BTM16thMain-ORR Junc,0.007093855,31.292517006802722
Malleswaram18thCrossRd-SampigeRdJunc,0.007093855,31.292517006802722
ShivanahalliJunctionWOC,0.006784416,30.4421768707483
ModiBridgeJunction,0.006784416,30.4421768707483
NandiCross(RaniCross),0.0065658013,29.421768707482993
Peenya2ndStageBusStand,0.0065658013,29.421768707482993
ShankarMuttCircle,0.0065658013,29.421768707482993
HosmatJunction,0.0065658013,29.421768707482993
J D MaraJunc,0.006433014,28.57142857142857
5thMainRPC Layout-Vijayanagar,0.005395977,28.2312925170068
Rajajinagagr1stBlockJunction,0.005368816,27.89115646258503
WebbsCircle,0.003772839,27.55102040816326
UCO Bank(Forum),0.0034491674,27.2108843537415
5thMainHSR,0.0033372748,26.87074829931973
SonyworldJunction,0.003183947,26.53061224489796
KamakyaJunction,0.0030005646,26.190476190476193
KuvempuCircle,0.0029824758,25.850340136054424
DMRoadJunc(Basavangudi),0.002911168,21.598639455782312
17th Mn 1st Crs Aishwarya Stores Jn,0.002911168,21.598639455782312
GovindapuraCross,0.002911168,21.598639455782312
YediyurMeternityHospital,0.002911168,21.598639455782312
BEML GateJunc(SuranjandasRd),0.002911168,21.598639455782312
Peenya14thCrossJunc,0.002911168,21.598639455782312
KensingtonOvalJunc,0.002911168,21.598639455782312
Basveshwarnagar 8th main Junction,0.002911168,21.598639455782312
GowdanapalyaJunction,0.002911168,21.598639455782312
BHEL Gate,0.002911168,21.598639455782312
VishweswaraiahJunctio(Uttamsagar),0.002911168,21.598639455782312
MarenahalliRd-18thMainRdJunc,0.002911168,21.598639455782312
Devanahalli new bus stand,0.002911168,21.598639455782312
LalbaghWestGate,0.002911168,21.598639455782312
ThomasCafe-New,0.002911168,21.598639455782312
ESI(k r puram),0.002911168,21.598639455782312
K G Junction,0.002911168,21.598639455782312
Geethanjali jn,0.002911168,21.598639455782312
NationalCollege,0.002911168,21.598639455782312
ISRO Junction-NewBEL Rd,0.002911168,21.598639455782312
DickensonRd-AdigasJunc,0.002911168,21.598639455782312
MSRamaiahHospitalJunc,0.002911168,21.598639455782312
BrigadeMillenium,0.002911168,21.598639455782312
ColesParkJunc,0.002911168,21.598639455782312
RajarajeshwariKalyanaMantapaJunc,0.002658182,17.346938775510203
BM ShriJunc(CMH-100FtRd)Junc,0.0026467394,17.006802721088434
DoddaballapuraCrossJunc,0.0026214174,16.3265306122449
BhashyamCircle-SadashivNagar,0.0026214174,16.3265306122449
HalliThindi,0.0026214174,16.3265306122449
KHB Junction,0.0026204898,15.646258503401361
BhadrappaLayout,0.0025750373,15.306122448979592
ChandraLayoutJunc-nearWaterTank,0.0024771956,14.965986394557824
MaharajaJunction,0.0020885356,13.945578231292515
WiproJunc-Koramangala,0.0020885356,13.945578231292515
NagaTheaterJunc-Ulsoor,0.0020885356,13.945578231292515
Minerva Circle,0.0020885356,13.945578231292515
ChandrikaJunction,0.0020885356,13.945578231292515
SwagathMainRd-EastEndRdJunc,0.002051002,12.925170068027212
TVS CrossJunction,0.0019869562,12.074829931972788
27th Cross Jayanagar(Ganapathi Temple),0.0019869562,12.074829931972788
Geeta Circle,0.0019869562,12.074829931972788
KR Road-14thCross Junc,0.0019869562,12.074829931972788
DevanahalliCrossJunc,0.0019774297,11.224489795918368
"Trilight Circle,Race course Road",0.0018228153,10.884353741496598
GorappanapalyaJunction,0.0017679385,10.54421768707483
NTTF JunctionPeenya,0.0017568106,10.204081632653061
LinkRoadMalleswaramJunc,0.0016979486,8.333333333333332
NGV RearGateJunc,0.0016979486,8.333333333333332
BagalakunteCrossJunction,0.0016979486,8.333333333333332
Bamboobazar(Shivajinagar),0.0016979486,8.333333333333332
NavarangBarJunc-Dr RajkumarRd,0.0016979486,8.333333333333332
KCG HospitalJunction,0.0016979486,8.333333333333332
BasavamantapaJunc-Dr RajkumarRd,0.0016979486,8.333333333333332
UpparpetJunction,0.0016979486,8.333333333333332
LowerAgaram(IndiaGarage)Junc,0.0016979486,8.333333333333332
"Jayanagar 4th main,36th cross",0.0016979486,8.333333333333332
DevegowdaPetrolBunkJunc,0.0016681785,6.462585034013606
Indiranasgar13thMainJunc,0.0016430285,6.122448979591836
CholurpalyaJunction(MagadiRd),0.0016370176,5.612244897959184
Fire Force Junction,0.0016370176,5.612244897959184
RoyanCircle-Chamrajpete,0.0015709418,5.1020408163265305
AttiguppeCircleJunction,0.0014826363,4.761904761904762
PuttammaChoultryNagarbhavi,0.0014210424,4.421768707482993
"Narayanapura cross, Hegde nagar",0.0013536252,4.081632653061225
NCERT Junction,0.0012552202,3.741496598639456
SafinaPlazaJunc,0.0011776155,3.4013605442176873
ManipalCentreJunc,0.0011432954,3.061224489795918
ModiHospital,0.0011117698,2.7210884353741496
"KuvempuCircleJunc,HAL MainGate",0.0010940493,2.380952380952381
AdugodiJunc,0.0010816725,2.0408163265306123
OldMadrasRd-SuddaguntepalyaRdJunc,0.0009939001,1.530612244897959
AnjaneyaTempleJunc,0.0009939001,1.530612244897959
Arts&CraftsCircle,0.0009797259,1.0204081632653061
TamarikannanJunc,0.00089909293,0.5102040816326531
OldMadrasRd-BMTC DepotJunc,0.00089909293,0.5102040816326531
